Institution,School Name,Main,Classification,Longitude,Latitude,Physical Address,Oral Pills (contraception),Injectables,IUDs  (contraception),Implants (contraception),Female Sterilization (contraception),Male Sterilization (contraception),Male Medical Circumcision (MMC),TB,Maternal Health,Mental Health,Child Health,Oral health services,Rehabilitation Services,Minor Ailments,HIV Testing,HIV Treatment (ART),Oral PrEP,Termination of Pregnancy - 1st Trimester,Termination of Pregnancy - 2nd Trimester,Sexuality Transmitted Infections Screenings
University of Pretoria,KALAFONG,,University,28.85,-25.75135,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,KOLLEGE FARM,,University,28.4839,-26.95117,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,LC DE VILLIERS SPORTS CAMPUS,,University,28.23127,-25.7528,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,MAMELODI CAMPUS,,University,28.38155,-25.7261,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,MEDICAL CAMPUS (ACADEMIC HOSPITAL),,University,28.2028,-25.72158,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,MEDICAL CAMPUS (PRINSHOF),,University,28.2028,-25.736,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,MIERTJIE LE ROUX,,University,28.552,-25.77158,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,OTHER,,University,28.3767,-25.7537,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,PERSEQUOR PARK,,University,28.276,-25.73146,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,SOUTH CAMPUS ,,University,28.2285,-25.7564,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,VETERINARY SCIENCES CAMPUS,,University,28.17154,-25.63144,,,,,,,,,,,,,,,,,,,,,
University of Pretoria,WITBANK CAMPUS,,University,29.2212,-25.8788,,,,,,,,,,,,,,,,,,,,,
University of South Africa (GT),Daveyton,,University,28.38142,-26.13111,,,,,,,,,,,,,,,,,,,,,
University of South Africa (GT),Florida,,University,27.9025,-26.1585,,,,,,,,,,,,,,,,,,,,,
University of South Africa (GT),Irene ,,University,28.2273,-25.8886,,,,,,,,,,,,,,,,,,,,,
University of South Africa (GT),Johannesburg,Yes,University,28.322,-26.2037,,,,,,,,,,,,,,,,,,,,,
University of South Africa (GT),Lenasia,,University,27.83102,-26.3249,,,,,,,,,,,,,,,,,,,,,
University of South Africa (GT),Midrand,,University,28.1248,-25.987,,,,,,,,,,,,,,,,,,,,,
University of South Africa (GT),Muckleneuk,,University,28.18137,-25.75149,,,,,,,,,,,,,,,,,,,,,
University of South Africa (GT),Ormonde,,University,27.98125,-26.259,,,,,,,,,,,,,,,,,,,,,
University of South Africa (GT),Pretoria Central,,University,28.18102,-25.759,,,,,,,,,,,,,,,,,,,,,
University of South Africa (GT),Pretoria Dwellings,,University,28.207,-25.75142,,,,,,,,,,,,,,,,,,,,,
University of South Africa (GT),Sunnyside,,University,28.18151,-25.758,,,,,,,,,,,,,,,,,,,,,
University of South Africa (GT),Vereeniging ,,University,27.831,-26.6891,,,,,,,,,,,,,,,,,,,,,
Tshwane University of Technology,Alma and Du Toit Pretoria,,University,28.201,-25.7593,,,,,,,,,,,,,,,,,,,,,
Tshwane University of Technology,Arcadia Campus Pretoria,,University,28.2,-25.73116,,,,,,,,,,,,,,,,,,,,,
Tshwane University of Technology,Arts Campus Pretoria,,University,28.18131,-25.7375,,,,,,,,,,,,,,,,,,,,,
Tshwane University of Technology,Baobab Manor Residence,,University,29.43147,-23.87128,,,,,,,,,,,,,,,,,,,,,
Tshwane University of Technology,Breytenbach Theatre Pretoria,,University,28.18153,-25.7541,,,,,,,,,,,,,,,,,,,,,
Tshwane University of Technology,Building and Estates Pretoria ,,University,28.1761,-25.7387,,,,,,,,,,,,,,,,,,,,,
Tshwane University of Technology,Cape Town Bellville Campus,,University,18.62113,-33.88158,,,,,,,,,,,,,,,,,,,,,
Tshwane University of Technology,CSIR: Polymer Technology PTA,,University,28.2784,-25.7537,,,,,,,,,,,,,,,,,,,,,
Tshwane University of Technology,EKHAYA JUNCTION RESIDENCE,,University,28.2769,-25.1273,,,,,,,,,,,,,,,,,,,,,
Tshwane University of Technology,eMalahleni Campus,,University,29.2334,-25.87112,,,,,,,,,,,,,,,,,,,,,
Tshwane University of Technology,Experiential Learning Farm Cam,,University,28.225,-25.602,,,,,,,,,,,,,,,,,,,,,
Tshwane University of Technology,Ga-Rankuwa Campus,,University,28.027,-25.60155,,,,,,,,,,,,,,,,,,,,,
